Data ID,Link,City,Neighbourhood,Full Address,Address,Pure Rent,Service Charge,Other Charge,Size,Date From,Date To,Dataframe Date,Deposit,Rooms,Full Address Lenght,EUR / SQM
2aywr5y,https://www.immowelt.de/expose/2aywr5y,Berlin,Charlottenburg,"Tegeler Weg 10, Berlin (Charlottenburg)",Tegeler weg 10,1700,,,115.09,,,20230731,,4,2,14.77104874
2axhr5y,https://www.immowelt.de/expose/2axhr5y,Berlin,Friedrichshain,Berlin (Friedrichshain),,1100,,,33.1,,,20230731,,1,1,33.2326284
2ar8r5y,https://www.immowelt.de/expose/2ar8r5y,Berlin,Mitte,"Hedwig-PorschÃ¼tz-StraÃe 22, Berlin (Mitte)",Hedwig-porschütz-strße 22,1620.55,,,76.57,,,20230731,,2,2,21.16429411
2ak6r5y,https://www.immowelt.de/expose/2ak6r5y,Berlin,Neu-Hohenschönhausen,"Wustrower StraÃe 23, Berlin (Neu-HohenschÃ¶nhausen)",Wustrower strße 23,829,,,70.74,,,20230731,,3,2,11.71897088
2aj6r5y,https://www.immowelt.de/expose/2aj6r5y,Berlin,Neu-Hohenschönhausen,"Wustrower StraÃe 23, Berlin (Neu-HohenschÃ¶nhausen)",Wustrower strße 23,829,,,71.78,,,20230731,,3,2,11.54917804
2a6up5y,https://www.immowelt.de/expose/2a6up5y,Berlin,Westend,Berlin (Westend),,950,,,45,,,20230731,,1,1,21.11111111
2ahap5y,https://www.immowelt.de/expose/2ahap5y,Berlin,Tiergarten,"Bissingzeile 5, Berlin (Tiergarten)",Bissingzeile 5,3780,,,189,,,20230731,,3,2,20
2agqj5m,https://www.immowelt.de/expose/2agqj5m,Berlin,Rummelsburg,Berlin (Rummelsburg),,2800,,,106,,,20230731,,3.5,1,26.41509434
2an4w5s,https://www.immowelt.de/expose/2an4w5s,Berlin,Schöneberg,"Martin LutherstraÃe 86, Berlin (SchÃ¶neberg)",Martin lutherstrße 86,1400,,,45,,,20230731,,2,2,31.11111111
2a2gl5y,https://www.immowelt.de/expose/2a2gl5y,Berlin,Charlottenburg,"Roscherstrasse 7, Berlin (Charlottenburg)",Roscherstrasse 7,893,,,35,,,20230731,,1,2,25.51428571
2agzk5y,https://www.immowelt.de/expose/2agzk5y,Berlin,Prenzlauer,"Greifswalder StraÃe 34/35, Berlin (Prenzlauer Berg)",Greifswalder strße 34/35,6500,,,231,,,20230731,,5,2,28.13852814
2ahqk5y,https://www.immowelt.de/expose/2ahqk5y,Berlin,Tegel,Berlin (Tegel),,1400,,,100,,,20230731,,2,1,14
2ahgk5y,https://www.immowelt.de/expose/2ahgk5y,Berlin,Moabit,"Lehrter Str 24B, Berlin (Moabit)",Lehrter str 24b,949,,,22.35,,,20230731,,1,2,42.46085011
25fve5l,https://www.immowelt.de/expose/25fve5l,Berlin,Französisch,"Berliner StraÃe 3, Berlin (FranzÃ¶sisch Buchholz)",Berliner strße 3,624,,,52,,,20230731,,2.5,2,12
2amyf5y,https://www.immowelt.de/expose/2amyf5y,Berlin,Friedrichshain,"Wilhelm-Stolze-Strasse 19, Berlin (Friedrichshain)",Wilhelm-stolze-strasse 19,1250,,,57,,,20230731,,2,2,21.92982456
2akmf5y,https://www.immowelt.de/expose/2akmf5y,Berlin,Lichterfelde,"Billy-Wilder-Promenade 32 a, Berlin (Lichterfelde)",Billy-wilder-promenade 32 a,1894.94,,,130.32,,,20230731,,3,2,14.54066912
2apuu5z,https://www.immowelt.de/expose/2apuu5z,Berlin,Oberschöneweide,Berlin (OberschÃ¶neweide),,578,,,13.8,,,20230731,,1,1,41.88405797
2atpd5y,https://www.immowelt.de/expose/2atpd5y,Berlin,Karlshorst,Berlin (Karlshorst),,1325,,,103,,,20230731,,3.5,1,12.86407767
2a6cb5y,https://www.immowelt.de/expose/2a6cb5y,Berlin,Grunewald,Berlin (Grunewald),,4440,,,185,,,20230731,,4,1,24
2au5d5y,https://www.immowelt.de/expose/2au5d5y,Berlin,Karow,"PfannschmidtstraÃe 35, Berlin (Karow)",Pfannschmidtstrße 35,949,,,74.49,,,20230731,,3,2,12.7399651
2a5fc5y,https://www.immowelt.de/expose/2a5fc5y,Berlin,Friedrichshain,Berlin (Friedrichshain),,1273,,,134,,,20230731,,4.5,1,9.5
2av4c5y,https://www.immowelt.de/expose/2av4c5y,Berlin,Wilmersdorf,"Binger StraÃe 0, Berlin (Wilmersdorf)",Binger strße 0,1250,,,55,,,20230731,,2,2,22.72727273
2awy85y,https://www.immowelt.de/expose/2awy85y,Berlin,Neukölln,Berlin (NeukÃ¶lln),,2750,,,159,,,20230731,,3,1,17.29559748
